customer_id,customer_segment,churn_risk
1,Occasional,High
2,Regular,High
3,Premium,High
4,Occasional,High
5,Regular,Low
6,Occasional,Low
7,Premium,High
8,Occasional,Medium
9,Premium,Low
10,Occasional,Medium
11,Regular,Low
12,Regular,High
13,Premium,Low
14,New,Low
15,Regular,Low
16,New,High
17,Regular,Medium
18,New,Low
19,Regular,High
20,Occasional,Medium
21,Occasional,Medium
22,New,Low
23,Regular,Low
24,Premium,Medium
25,Premium,High
26,Regular,High
27,Regular,Low
28,Premium,High
29,Premium,Low
30,Premium,Low
31,Occasional,Low
32,Regular,Medium
33,New,Low
34,Regular,High
35,New,Low
36,New,Medium
37,Regular,Low
38,Premium,High
39,New,Medium
40,New,Medium
41,New,High
42,Premium,High
43,Premium,Low
44,New,High
45,Occasional,Low
46,Regular,Low
47,Regular,High
48,New,Low
49,New,Low
50,Occasional,Medium
51,Regular,Low
52,New,High
53,Premium,Low
54,Premium,Low
55,Regular,Low
56,New,Medium
57,New,Low
58,New,Low
59,Regular,Medium
60,Premium,Medium
61,Occasional,Medium
62,Occasional,Medium
63,New,Low
64,Regular,Medium
65,Regular,Low
66,Premium,High
67,Occasional,Low
68,Premium,High
69,New,High
70,Regular,Low
71,Premium,Low
72,Premium,High
73,Premium,High
74,Regular,Medium
75,Premium,High
76,Regular,High
77,Premium,High
78,Premium,Medium
79,Occasional,Medium
80,Regular,High
81,Occasional,Low
82,Occasional,Medium
83,Regular,High
84,Occasional,Medium
85,Occasional,Low
86,Premium,Medium
87,Premium,Low
88,Regular,High
89,Occasional,Low
90,Occasional,Low
91,Regular,Medium
92,Occasional,Low
93,New,High
94,Occasional,High
95,Premium,High
96,Occasional,High
97,Premium,Low
98,Occasional,Low
99,Premium,High
100,Regular,Medium
101,Occasional,High
102,Regular,High
103,Occasional,Low
104,Occasional,High
105,New,Medium
106,Premium,Low
107,New,Medium
108,Premium,Low
109,Occasional,Low
110,Occasional,Low
111,New,High
112,New,High
113,Premium,Low
114,Premium,High
115,Regular,High
116,Premium,Medium
117,Regular,Medium
118,Regular,Low
119,Occasional,Medium
120,Premium,Medium
121,Regular,High
122,Regular,High
123,Premium,Medium
124,New,High
125,Regular,Low
126,Regular,Low
127,New,Low
128,Regular,High
129,Occasional,Medium
130,Regular,Medium
131,Regular,High
132,Premium,Medium
133,Premium,Medium
134,Regular,Low
135,New,Medium
136,Occasional,Low
137,Regular,Low
138,Regular,Medium
139,Occasional,Medium
140,Premium,Medium
141,Occasional,High
142,New,High
143,Occasional,Low
144,Premium,Medium
145,Regular,High
146,Occasional,Low
147,Premium,High
148,New,Medium
149,Occasional,Medium
150,Premium,Medium
151,Regular,Medium
152,Premium,High
153,New,Low
154,Regular,Medium
155,New,Low
156,Occasional,High
157,Occasional,High
158,Premium,High
159,Occasional,High
160,Occasional,High
161,New,Medium
162,New,High
163,Occasional,High
164,Regular,Low
165,New,High
166,New,High
167,Regular,High
168,Occasional,Medium
169,Premium,Medium
170,Occasional,Low
171,New,High
172,Occasional,Medium
173,New,Medium
174,Regular,High
175,New,High
176,Regular,High
177,Premium,Medium
178,Occasional,Low
179,Regular,High
180,Occasional,Low
181,Regular,Low
182,Premium,Low
183,Regular,Medium
184,Premium,Medium
185,New,High
186,Regular,High
187,New,Medium
188,New,Low
189,Regular,High
190,Premium,Low
191,New,Low
192,Regular,High
193,New,Low
194,Regular,Low
195,New,Low
196,New,High
197,Occasional,Medium
198,New,High
199,New,Low
200,New,Medium
201,Occasional,Low
202,Occasional,High
203,New,High
204,Regular,Medium
205,New,Low
206,Occasional,Low
207,Occasional,Medium
208,Occasional,High
209,Premium,Low
210,Regular,Low
211,New,High
212,Regular,High
213,Regular,Low
214,New,Medium
215,Occasional,High
216,New,Medium
217,Premium,Low
218,New,Medium
219,Premium,High
220,New,Medium
221,Premium,Medium
222,Occasional,Medium
223,New,High
224,Regular,Medium
225,Regular,Medium
226,New,Medium
227,Premium,Medium
228,Occasional,High
229,New,High
230,Regular,Medium
231,Regular,High
232,Premium,Medium
233,Premium,Low
234,New,Low
235,New,Low
236,Premium,Medium
237,New,Medium
238,Regular,Medium
239,Occasional,Medium
240,New,Medium
241,New,Medium
242,Premium,Medium
243,Premium,High
244,Premium,Medium
245,Regular,High
246,Premium,High
247,Premium,Low
248,Regular,Low
249,Premium,High
250,Regular,Low
251,Regular,Medium
252,Premium,High
253,Regular,Medium
254,Occasional,Medium
255,Regular,High
256,Premium,Low
257,Occasional,Low
258,Premium,Medium
259,New,Medium
260,Regular,Low
261,Regular,Low
262,Occasional,High
263,Premium,High
264,Premium,Medium
265,New,High
266,Occasional,Low
267,Occasional,Low
268,New,Medium
269,Premium,Medium
270,Occasional,High
271,New,High
272,Regular,Medium
273,Regular,High
274,Occasional,High
275,New,Medium
276,New,High
277,Occasional,Medium
278,Regular,Low
279,Occasional,Medium
280,Regular,Medium
281,New,Medium
282,Premium,Medium
283,Occasional,Low
284,New,Low
285,Occasional,Medium
286,Occasional,Medium
287,Occasional,High
288,Premium,High
289,Regular,Low
290,Regular,High
291,New,Medium
292,Regular,High
293,New,High
294,New,Medium
295,Premium,Low
296,Occasional,Low
297,New,High
298,Regular,Medium
299,Occasional,Medium
300,Occasional,Medium
301,Occasional,Medium
302,New,Medium
303,Occasional,Medium
304,Regular,Low
305,Regular,Medium
306,Premium,High
307,Regular,Low
308,Regular,High
309,New,Medium
310,Occasional,Low
311,Regular,Medium
312,Regular,Medium
313,Regular,Medium
314,Premium,High
315,Regular,Medium
316,Premium,Low
317,Occasional,High
318,Regular,High
319,New,Low
320,Premium,High
321,Occasional,Medium
322,New,Medium
323,Occasional,Low
324,Premium,Medium
325,New,Low
326,Premium,Medium
327,New,Low
328,Premium,Low
329,Regular,High
330,Occasional,Low
331,Regular,Low
332,New,High
333,Regular,High
334,New,Medium
335,New,Medium
336,New,Medium
337,Premium,High
338,Premium,Low
339,Regular,Medium
340,Premium,Low
341,Regular,Low
342,Premium,Low
343,Premium,Medium
344,New,High
345,New,Medium
346,Premium,Low
347,Occasional,High
348,Occasional,High
349,New,Low
350,Regular,Medium
351,Regular,Medium
352,Premium,High
353,Regular,High
354,Regular,Medium
355,Regular,Low
356,Premium,Low
357,Occasional,High
358,Occasional,Medium
359,Premium,Medium
360,Occasional,High
361,New,Medium
362,New,Medium
363,Premium,High
364,Premium,Medium
365,Occasional,High
366,Occasional,Low
367,Premium,Low
368,Premium,High
369,Occasional,High
370,Premium,Low
371,New,High
372,New,Medium
373,Regular,High
374,New,High
375,New,Low
376,New,Medium
377,New,Medium
378,Occasional,High
379,Premium,Low
380,Occasional,Medium
381,New,Medium
382,New,High
383,Premium,Medium
384,Premium,Medium
385,Occasional,Medium
386,Premium,Medium
387,Premium,High
388,New,Medium
389,Premium,Low
390,Occasional,High
391,New,High
392,New,Low
393,Regular,Medium
394,Regular,Medium
395,New,High
396,New,Low
397,Premium,High
398,Regular,High
399,Regular,Medium
400,Premium,High
401,New,Low
402,Regular,Low
403,New,Low
404,Regular,Medium
405,Occasional,High
406,Occasional,Medium
407,New,Medium
408,Regular,Medium
409,Regular,Medium
410,Regular,High
411,Regular,Low
412,Occasional,Medium
413,Occasional,High
414,Occasional,Low
415,Occasional,High
416,Occasional,High
417,New,Low
418,New,High
419,New,Medium
420,Occasional,High
421,New,Medium
422,Occasional,Low
423,Regular,High
424,New,Low
425,New,Low
