order_id,product_id,quantity,unit_cost,unit_price
1,3,2,2.36,4.4
1,1,2,1.88,8.3
1,18,1,2.6,3.6
2,27,3,3.12,11.74
2,12,1,1.65,6.2
2,22,1,2.45,11.98
2,16,1,3.74,10.59
3,21,2,3.99,6.86
4,2,1,4.04,4.44
4,10,2,4.42,10.8
5,13,2,3.81,9.15
5,12,3,1.65,6.2
6,27,2,3.12,11.74
7,7,2,1.32,5.64
7,15,1,1.65,6.42
7,28,2,3.72,4.03
8,2,2,4.04,4.44
8,9,1,3.65,9.96
8,4,2,1.41,6.42
9,2,2,4.04,4.44
10,27,3,3.12,11.74
11,25,1,4.17,6.8
11,26,3,2.54,8.36
11,1,2,1.88,8.3
12,4,3,1.41,6.42
12,28,1,3.72,4.03
13,1,1,1.88,8.3
13,9,1,3.65,9.96
13,5,3,4.39,8.43
14,15,2,1.65,6.42
14,17,3,1.92,3.29
14,4,2,1.41,6.42
14,17,1,1.92,3.29
15,21,1,3.99,6.86
15,2,2,4.04,4.44
15,28,2,3.72,4.03
15,14,3,3.44,4.54
16,11,3,2.11,8.72
17,13,3,3.81,9.15
17,17,2,1.92,3.29
17,15,3,1.65,6.42
18,14,2,3.44,4.54
18,29,1,4.07,6.06
19,24,1,4.44,4.38
19,11,2,2.11,8.72
19,11,3,2.11,8.72
19,9,2,3.65,9.96
20,27,1,3.12,11.74
21,18,1,2.6,3.6
21,19,3,1.85,7.49
22,28,3,3.72,4.03
22,25,2,4.17,6.8
22,28,3,3.72,4.03
23,12,1,1.65,6.2
23,19,3,1.85,7.49
23,7,1,1.32,5.64
24,4,2,1.41,6.42
24,19,1,1.85,7.49
24,26,2,2.54,8.36
25,9,3,3.65,9.96
25,25,2,4.17,6.8
26,19,3,1.85,7.49
26,13,1,3.81,9.15
27,13,2,3.81,9.15
27,15,2,1.65,6.42
28,29,1,4.07,6.06
29,9,2,3.65,9.96
30,9,1,3.65,9.96
30,25,3,4.17,6.8
30,4,2,1.41,6.42
30,14,1,3.44,4.54
31,2,1,4.04,4.44
31,13,3,3.81,9.15
31,2,1,4.04,4.44
32,10,2,4.42,10.8
32,4,1,1.41,6.42
32,16,3,3.74,10.59
33,17,3,1.92,3.29
33,27,3,3.12,11.74
34,1,2,1.88,8.3
34,30,1,2.74,7.08
34,28,2,3.72,4.03
34,19,2,1.85,7.49
35,13,1,3.81,9.15
36,3,2,2.36,4.4
36,28,1,3.72,4.03
36,8,2,3.31,9.34
37,24,2,4.44,4.38
37,8,2,3.31,9.34
37,25,1,4.17,6.8
38,29,2,4.07,6.06
38,12,3,1.65,6.2
39,7,1,1.32,5.64
39,20,1,1.57,4.26
39,25,3,4.17,6.8
40,22,3,2.45,11.98
40,21,3,3.99,6.86
40,20,2,1.57,4.26
40,28,3,3.72,4.03
41,15,3,1.65,6.42
41,10,2,4.42,10.8
41,19,1,1.85,7.49
41,12,3,1.65,6.2
42,2,2,4.04,4.44
43,15,3,1.65,6.42
43,18,3,2.6,3.6
43,29,1,4.07,6.06
43,15,3,1.65,6.42
44,2,2,4.04,4.44
44,4,2,1.41,6.42
45,23,2,3.04,3.82
45,15,3,1.65,6.42
46,30,2,2.74,7.08
46,13,2,3.81,9.15
46,25,2,4.17,6.8
47,4,3,1.41,6.42
47,22,2,2.45,11.98
47,10,2,4.42,10.8
48,30,2,2.74,7.08
48,10,3,4.42,10.8
49,18,2,2.6,3.6
49,21,2,3.99,6.86
49,27,1,3.12,11.74
50,1,2,1.88,8.3
50,10,1,4.42,10.8
50,7,2,1.32,5.64
51,3,2,2.36,4.4
51,28,1,3.72,4.03
52,22,2,2.45,11.98
53,6,3,3.92,7.83
53,25,3,4.17,6.8
54,12,3,1.65,6.2
54,24,1,4.44,4.38
54,15,3,1.65,6.42
54,10,3,4.42,10.8
55,26,2,2.54,8.36
55,29,1,4.07,6.06
55,12,3,1.65,6.2
56,6,1,3.92,7.83
56,26,3,2.54,8.36
56,5,2,4.39,8.43
56,2,3,4.04,4.44
57,23,3,3.04,3.82
58,15,3,1.65,6.42
58,5,2,4.39,8.43
58,3,1,2.36,4.4
59,2,2,4.04,4.44
59,17,2,1.92,3.29
59,8,2,3.31,9.34
59,3,2,2.36,4.4
60,26,1,2.54,8.36
60,5,1,4.39,8.43
60,10,2,4.42,10.8
61,29,1,4.07,6.06
62,4,2,1.41,6.42
62,8,2,3.31,9.34
62,4,1,1.41,6.42
62,8,2,3.31,9.34
63,21,3,3.99,6.86
64,1,3,1.88,8.3
64,12,1,1.65,6.2
64,19,2,1.85,7.49
64,6,3,3.92,7.83
65,13,2,3.81,9.15
66,24,1,4.44,4.38
66,12,1,1.65,6.2
66,12,1,1.65,6.2
67,2,2,4.04,4.44
67,18,2,2.6,3.6
68,26,1,2.54,8.36
68,3,3,2.36,4.4
69,26,1,2.54,8.36
70,27,3,3.12,11.74
70,16,2,3.74,10.59
70,2,3,4.04,4.44
70,7,2,1.32,5.64
71,4,2,1.41,6.42
71,14,2,3.44,4.54
71,24,2,4.44,4.38
72,12,3,1.65,6.2
72,9,1,3.65,9.96
72,24,2,4.44,4.38
72,3,2,2.36,4.4
73,3,2,2.36,4.4
74,6,3,3.92,7.83
74,15,2,1.65,6.42
74,15,1,1.65,6.42
74,24,2,4.44,4.38
75,12,3,1.65,6.2
75,26,3,2.54,8.36
75,22,1,2.45,11.98
75,1,1,1.88,8.3
76,25,3,4.17,6.8
76,12,2,1.65,6.2
77,22,2,2.45,11.98
77,12,2,1.65,6.2
78,17,2,1.92,3.29
78,13,2,3.81,9.15
79,16,3,3.74,10.59
79,13,3,3.81,9.15
80,20,2,1.57,4.26
80,23,2,3.04,3.82
81,6,3,3.92,7.83
81,15,1,1.65,6.42
81,26,3,2.54,8.36
81,28,2,3.72,4.03
82,29,2,4.07,6.06
82,28,1,3.72,4.03
82,23,3,3.04,3.82
83,4,1,1.41,6.42
83,26,1,2.54,8.36
84,18,3,2.6,3.6
84,12,2,1.65,6.2
84,26,3,2.54,8.36
85,13,3,3.81,9.15
85,24,2,4.44,4.38
85,17,2,1.92,3.29
86,11,3,2.11,8.72
86,3,2,2.36,4.4
87,29,3,4.07,6.06
87,21,3,3.99,6.86
88,27,1,3.12,11.74
89,11,3,2.11,8.72
89,8,2,3.31,9.34
90,7,3,1.32,5.64
90,18,2,2.6,3.6
90,5,3,4.39,8.43
91,19,3,1.85,7.49
91,5,1,4.39,8.43
92,3,1,2.36,4.4
93,20,3,1.57,4.26
93,1,2,1.88,8.3
93,29,3,4.07,6.06
93,18,2,2.6,3.6
94,15,1,1.65,6.42
94,23,1,3.04,3.82
94,6,2,3.92,7.83
95,20,1,1.57,4.26
95,11,3,2.11,8.72
95,11,3,2.11,8.72
96,17,3,1.92,3.29
96,4,2,1.41,6.42
96,8,2,3.31,9.34
97,4,1,1.41,6.42
97,10,2,4.42,10.8
98,7,1,1.32,5.64
98,16,3,3.74,10.59
98,15,2,1.65,6.42
99,17,2,1.92,3.29
99,8,1,3.31,9.34
99,19,2,1.85,7.49
99,2,1,4.04,4.44
100,18,1,2.6,3.6
100,28,1,3.72,4.03
100,14,1,3.44,4.54
101,2,2,4.04,4.44
101,2,3,4.04,4.44
101,18,1,2.6,3.6
102,17,2,1.92,3.29
102,25,3,4.17,6.8
102,9,3,3.65,9.96
102,22,3,2.45,11.98
103,26,2,2.54,8.36
103,18,2,2.6,3.6
103,25,1,4.17,6.8
104,2,1,4.04,4.44
105,5,3,4.39,8.43
105,29,3,4.07,6.06
105,5,2,4.39,8.43
105,30,3,2.74,7.08
106,19,2,1.85,7.49
106,17,3,1.92,3.29
106,18,2,2.6,3.6
107,22,1,2.45,11.98
107,14,3,3.44,4.54
107,10,3,4.42,10.8
108,24,1,4.44,4.38
108,19,2,1.85,7.49
109,27,3,3.12,11.74
109,8,1,3.31,9.34
110,14,1,3.44,4.54
110,14,3,3.44,4.54
110,7,2,1.32,5.64
111,23,1,3.04,3.82
112,17,2,1.92,3.29
112,11,1,2.11,8.72
112,15,3,1.65,6.42
112,11,3,2.11,8.72
113,7,1,1.32,5.64
113,9,3,3.65,9.96
113,10,1,4.42,10.8
113,10,2,4.42,10.8
114,12,3,1.65,6.2
114,30,3,2.74,7.08
114,9,2,3.65,9.96
114,4,3,1.41,6.42
115,10,1,4.42,10.8
115,10,3,4.42,10.8
116,7,1,1.32,5.64
