order_id,order_date,customer_id,store_id,channel
1,2025-05-25,387,4,web
2,2026-04-11,189,5,phone
3,2025-12-02,469,10,delivery
4,2025-11-06,333,7,dine-in
5,2025-04-29,50,4,phone
6,2026-03-06,301,3,web
7,2026-02-22,481,5,dine-in
8,2025-04-12,352,6,phone
9,2025-04-04,340,4,phone
10,2025-09-07,65,10,delivery
11,2025-08-01,301,4,delivery
12,2025-05-29,67,9,app
13,2025-05-15,8,6,delivery
14,2026-03-08,270,2,dine-in
15,2025-02-14,373,9,app
16,2025-04-21,252,8,dine-in
17,2025-06-01,34,3,app
18,2026-03-17,51,2,phone
19,2026-02-28,174,8,web
20,2025-06-06,352,8,dine-in
21,2025-04-06,222,2,app
22,2025-12-04,344,2,web
23,2025-02-22,496,5,phone
24,2026-05-09,115,2,app
25,2025-01-27,312,5,dine-in
26,2025-12-14,180,1,delivery
27,2025-05-26,380,1,dine-in
28,2025-06-11,190,5,app
29,2025-06-09,81,10,dine-in
30,2026-03-11,249,10,web
31,2025-10-18,348,10,web
32,2025-07-29,155,4,delivery
33,2026-03-17,90,3,web
34,2025-12-29,37,7,dine-in
35,2026-02-19,364,7,app
36,2025-11-29,88,10,web
37,2026-02-15,269,2,web
38,2025-03-20,262,2,phone
39,2025-06-01,121,2,delivery
40,2025-03-19,91,8,web
41,2025-11-20,78,8,dine-in
42,2025-03-17,159,8,web
43,2025-10-21,40,2,phone
44,2025-07-12,165,10,web
45,2025-03-28,259,3,dine-in
46,2026-06-20,313,3,app
47,2025-02-23,405,6,dine-in
48,2025-06-03,171,2,phone
49,2026-02-06,67,10,dine-in
50,2026-06-24,48,7,phone
51,2026-05-13,99,4,delivery
52,2026-06-04,395,9,phone
53,2025-05-15,306,7,delivery
54,2025-06-19,370,8,dine-in
55,2026-04-05,120,9,delivery
56,2026-03-28,237,5,web
57,2026-05-08,448,6,phone
58,2025-05-08,146,2,delivery
59,2026-04-07,453,6,dine-in
60,2025-08-18,15,6,dine-in
61,2025-05-23,389,8,web
62,2025-01-20,132,4,delivery
63,2026-04-14,33,2,web
64,2025-09-05,368,3,app
65,2025-03-29,269,6,dine-in
66,2025-02-14,326,7,app
67,2025-04-17,396,10,app
68,2025-06-29,426,8,web
69,2026-04-14,19,5,delivery
70,2025-02-12,162,5,phone
71,2026-01-01,442,1,app
72,2026-01-31,174,3,web
73,2025-07-04,280,5,app
74,2025-10-30,157,8,phone
75,2026-03-22,141,1,dine-in
76,2026-03-25,18,3,dine-in
77,2026-01-28,487,10,dine-in
78,2026-03-31,391,2,phone
79,2025-10-13,128,2,dine-in
80,2025-05-01,135,5,web
81,2025-07-24,63,3,dine-in
82,2025-12-22,364,2,phone
83,2025-06-28,407,6,phone
84,2025-08-31,405,8,dine-in
85,2025-05-13,314,2,dine-in
86,2026-02-24,422,10,dine-in
87,2026-04-23,349,9,app
88,2025-07-06,394,3,web
89,2026-06-15,79,5,delivery
90,2026-06-16,459,5,dine-in
91,2025-11-07,315,9,dine-in
92,2025-12-12,432,10,dine-in
93,2025-09-29,334,4,phone
94,2025-11-06,248,4,web
95,2026-03-02,248,8,delivery
96,2025-12-20,500,7,delivery
97,2025-05-06,137,8,delivery
98,2026-03-05,128,3,app
99,2025-11-12,255,1,dine-in
100,2025-10-16,254,10,web
101,2025-09-28,373,6,web
102,2026-01-07,284,5,dine-in
103,2025-05-02,66,2,web
104,2025-07-23,309,9,web
105,2025-05-21,366,6,web
106,2025-11-23,84,7,phone
107,2025-11-03,244,1,app
108,2025-01-28,306,8,app
109,2025-06-24,269,10,web
110,2025-04-23,98,1,web
111,2026-05-29,397,10,web
112,2026-06-16,107,9,app
113,2025-12-29,347,5,phone
114,2025-08-01,354,8,app
115,2026-01-24,459,7,app
116,2025-03-22,178,8,app
117,2025-05-21,56,10,phone
118,2025-08-20,327,4,dine-in
119,2026-04-29,52,3,dine-in
120,2026-05-04,334,4,app
121,2025-08-26,274,1,delivery
122,2025-07-10,480,5,dine-in
123,2025-04-20,476,6,app
124,2026-04-25,140,4,dine-in
125,2025-07-10,8,6,app
126,2026-02-20,424,7,phone
127,2026-05-04,166,4,dine-in
