product_id,category,product_name,unit_cost,unit_price
1,Side,Product 01,1.88,8.3
2,Pizza,Product 02,4.04,4.44
3,Side,Product 03,2.36,4.4
4,Drink,Product 04,1.41,6.42
5,Drink,Product 05,4.39,8.43
6,Pizza,Product 06,3.92,7.83
7,Side,Product 07,1.32,5.64
8,Drink,Product 08,3.31,9.34
9,Pizza,Product 09,3.65,9.96
10,Pizza,Product 10,4.42,10.8
11,Side,Product 11,2.11,8.72
12,Drink,Product 12,1.65,6.2
13,Drink,Product 13,3.81,9.15
14,Pizza,Product 14,3.44,4.54
15,Pasta,Product 15,1.65,6.42
16,Pasta,Product 16,3.74,10.59
17,Pizza,Product 17,1.92,3.29
18,Drink,Product 18,2.6,3.6
19,Drink,Product 19,1.85,7.49
20,Side,Product 20,1.57,4.26
21,Drink,Product 21,3.99,6.86
22,Side,Product 22,2.45,11.98
23,Pasta,Product 23,3.04,3.82
24,Pizza,Product 24,4.44,4.38
25,Pasta,Product 25,4.17,6.8
26,Pizza,Product 26,2.54,8.36
27,Side,Product 27,3.12,11.74
28,Pizza,Product 28,3.72,4.03
29,Drink,Product 29,4.07,6.06
30,Drink,Product 30,2.74,7.08
